"NBa7we src","d4r55","RfnDt","eaLgGf","hCCjke","rsqaWe","wiI7pd","w8nwRe","Tap5If","dSlJg","znYl0","dSlJg 2","znYl0 2","Hzvxle","pkWtMe"
"https://lh3.googleusercontent.com/a/ACg8ocKN7JlPbCqKDpwLxiOT8tToTOkfuR7BwiZ3_DuOxtaGVSYefkk=w45-h45-p-rp-mo-br100","Amrita Belbase","4 reviews","","","a month ago","Lovely environment, wonderful food, top notched service by their staff called KRITI. She was amazing. Love this place.","More","","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXsSIMrCGwwT0Ry7g_bb2mGFWYEvWlQspq-8ZVu31wPnpDbFYYjNA=w45-h45-p-rp-mo-ba5-br100","suyasha koirala","Local Guide · 69 reviews · 1,401 photos","","","2 years ago","We order 2 different types of food. For me I can't eat much so only mutton, while others ordered special thali (i forgot exact name). The yoghurt and lalmon was delicious 😋. Mutton was delicious, everything was 😋. For me dal was different …","More","+6","","","","Share","Like","1"
"https://lh3.googleusercontent.com/a-/ALV-UjVO_3bPm24F8vnCsAGymkHpyBh3qjq-MWMja6cFxR85tR-Zjo4n=w45-h45-p-rp-mo-ba3-br100","Arjun Maharjan","Local Guide · 51 reviews · 13 photos","","","a week ago","This place is becoming a highway hotel from one of the best Thakali place. Please maintain the quality and the service i knew in the past.","More","","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU_ywwL1t-kFvs39sfE8Tfih4p8CPtehOaZrQb7qfaoL01ui7w=w45-h45-p-rp-mo-br100","Suraj Shahi","2 reviews · 2 photos","","","a month ago","Always have been fond of Thakali Food and Jimbu Thakali Tangal always exceeds expectations. Kudos to the friendly team members. Bikash has been very lovely during our times in Jimbu ❤️","More","","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW-ifjCa21m48XyYdhr7d5HEhb-HpqEHCf5m10Pk4_5prbFXwOP=w45-h45-p-rp-mo-br100","Abhash Jha","2 reviews","","","2 months ago","Worst experience ever, also is worst among its branches. Never visitng again.
Thakali fod is exepensive, but that's ok. The problem was no one asked us if we would like to add anything (thap khana) even once. When I asked them for more …","More","","","","","Share","Like","2"
"https://lh3.googleusercontent.com/a-/ALV-UjWi41sPX3AkOmDFk7Uo0iSEOgakAHDdHyJEz6CVnoohiQvtO9h0LQ=w45-h45-p-rp-mo-ba4-br100","Kalu Thapa","Local Guide · 61 reviews · 258 photos","","","a year ago","Loved the thakali food. Staffs were very courteous and attentive.","More","+5","","","","Share","Like","2"
"https://lh3.googleusercontent.com/a-/ALV-UjUcUbOnqBketLplw7CqcsH4u9nCOlENuopOCWsjjbbJ-TnjF_H0=w45-h45-p-rp-mo-ba5-br100","Dipesh Ray","Local Guide · 146 reviews · 347 photos","","","2 years ago","Too much famous for such a place , good food , 😋  i had to stay in waiting area cause it wall full pack , although it was large enough space , i had to wait , overall expectations and experiences were good .. …","More","+3","","","","Share","Like","2"
"https://lh3.googleusercontent.com/a-/ALV-UjVb9xLUDLTZGS6rCr8r2X4HV1BLqmdK8PJ7r7qCOmbvGhkuE3pO=w45-h45-p-rp-mo-ba2-br100","Dawa Dolpopa Gurung (D2 Vlogs)","Local Guide · 6 reviews · 22 photos","","","4 months ago","Jimbu Thakali offers a diverse menu that includes traditional Thakali cuisine as well as modern dishes and drinks. The food is delicious, the service is excellent, and the ambiance is pleasant, although the restaurant tends to be busy. Additionally, the restaurant provides ample parking facilities.","","","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVUPkaUvnajrhUpynUXxOeto6UOCmAduHa6DFjQv7F5rppK3eX6=w45-h45-p-rp-mo-ba5-br100","SHAILESH MAHARJAN","Local Guide · 19 reviews · 718 photos","","","4 months ago","It is always a nice experience to have dinner at Jimbu. I have been there with both small and large groups. It is always corwded whenever I visit, probably due to the fact that this place is always filled with food lovers. I always book a …","More","","","Like","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJD2aJgAUzDebSMNyx5zfMhWSVbku_XPM0BV3N5YzM4qLJ1ayc=w45-h45-p-rp-mo-ba4-br100","Alex Shrestha","Local Guide · 20 reviews · 176 photos","","","5 years ago","Jimbu Thakali cushion is one of the famous thakali kitchen of Kathmandu city. It provides the best service to the customers and the beat food too. I had gone there at saturday morning and only after half hour of opening time the place was …","More","+19","","Like","","Share","",""
